junction_name,hour,violation_count,lat,lon
"BTP001 - 10th Cross, Dr. Rajkumar Road",0.0,152,13.006527750657895,77.55439084144737
"BTP001 - 10th Cross, Dr. Rajkumar Road",1.0,75,13.007026326666667,77.55457768666668
"BTP001 - 10th Cross, Dr. Rajkumar Road",2.0,113,13.007599275221239,77.55473285044248
"BTP001 - 10th Cross, Dr. Rajkumar Road",3.0,106,13.007884395283018,77.55464350283019
"BTP001 - 10th Cross, Dr. Rajkumar Road",4.0,223,13.00793611704036,77.55469712690584
"BTP001 - 10th Cross, Dr. Rajkumar Road",5.0,160,13.008003584375,77.554651675
"BTP001 - 10th Cross, Dr. Rajkumar Road",6.0,95,13.00821596631579,77.55493085052632
"BTP001 - 10th Cross, Dr. Rajkumar Road",7.0,53,13.007580271698112,77.55474674339622
"BTP001 - 10th Cross, Dr. Rajkumar Road",8.0,70,13.008220178571428,77.55463051714285
"BTP001 - 10th Cross, Dr. Rajkumar Road",9.0,29,13.007870027586208,77.5544352586207
"BTP001 - 10th Cross, Dr. Rajkumar Road",10.0,14,13.008183678571429,77.55455026428571
"BTP001 - 10th Cross, Dr. Rajkumar Road",11.0,3,13.008403766666666,77.55438196666667
"BTP001 - 10th Cross, Dr. Rajkumar Road",12.0,12,13.008325516666666,77.55451600833334
"BTP001 - 10th Cross, Dr. Rajkumar Road",19.0,34,13.007409788235295,77.55489401176472
"BTP001 - 10th Cross, Dr. Rajkumar Road",20.0,118,13.008316320338983,77.5544904838983
"BTP001 - 10th Cross, Dr. Rajkumar Road",21.0,150,13.007988058,77.55459254266667
"BTP001 - 10th Cross, Dr. Rajkumar Road",22.0,134,13.008384091044775,77.55474707985074
"BTP001 - 10th Cross, Dr. Rajkumar Road",23.0,152,13.007033309210525,77.55444190526316
BTP006 - Navarang Bar Junction,0.0,8,12.99069825,77.5570941375
BTP006 - Navarang Bar Junction,2.0,6,12.99067365,77.55724375
BTP006 - Navarang Bar Junction,5.0,3,12.992033999999999,77.55837136666666
BTP006 - Navarang Bar Junction,20.0,1,12.9899014,77.558425
BTP006 - Navarang Bar Junction,21.0,1,12.991324,77.5577076
BTP006 - Navarang Bar Junction,22.0,1,12.9906914,77.5580916
BTP006 - Navarang Bar Junction,23.0,9,12.990534444444444,77.5570357
BTP008 - Navarang Theatre,0.0,70,12.99835875857143,77.55306897714286
BTP008 - Navarang Theatre,1.0,99,12.99849092020202,77.5533717010101
BTP008 - Navarang Theatre,2.0,89,12.998530496629213,77.55316976404495
BTP008 - Navarang Theatre,3.0,98,12.998455247959184,77.55296443571429
BTP008 - Navarang Theatre,4.0,113,12.998707761061947,77.55306848672566
BTP008 - Navarang Theatre,5.0,58,12.998311512068964,77.55333905862068
BTP008 - Navarang Theatre,6.0,51,12.998453741176471,77.55295220784313
BTP008 - Navarang Theatre,7.0,20,12.998360855000001,77.55304332
BTP008 - Navarang Theatre,8.0,20,12.998176294999999,77.5532423
BTP008 - Navarang Theatre,9.0,5,12.998294140000002,77.55317522
BTP008 - Navarang Theatre,19.0,1,13.000945,77.5530433
BTP008 - Navarang Theatre,20.0,18,12.997864833333333,77.55379557777778
BTP008 - Navarang Theatre,21.0,7,12.998035842857144,77.55334777142856
BTP008 - Navarang Theatre,22.0,35,12.998494385714285,77.55299617142857
BTP008 - Navarang Theatre,23.0,45,12.998777164444444,77.55274301555555
BTP009 - Prakash Nagar Junction,0.0,4,12.992210499999999,77.55741675
BTP009 - Prakash Nagar Junction,1.0,8,12.99233675,77.557222775
BTP009 - Prakash Nagar Junction,2.0,2,12.99257885,77.55752154999999
BTP009 - Prakash Nagar Junction,4.0,1,12.9924804,77.5569624
BTP009 - Prakash Nagar Junction,5.0,22,12.99260920909091,77.55809457727274
BTP009 - Prakash Nagar Junction,6.0,36,12.992625158333333,77.5582502138889
BTP009 - Prakash Nagar Junction,7.0,18,12.992404361111111,77.55796205
BTP009 - Prakash Nagar Junction,8.0,1,12.9911268,77.555996
BTP009 - Prakash Nagar Junction,20.0,1,12.9922594,77.5568444
BTP009 - Prakash Nagar Junction,21.0,24,12.992607395833334,77.55725514166666
BTP009 - Prakash Nagar Junction,22.0,22,12.992445236363636,77.55581935454546
BTP009 - Prakash Nagar Junction,23.0,8,12.9923731875,77.5577464375
BTP010 - Rajajinagar Entrance,0.0,31,12.98167773548387,77.55921361612903
BTP010 - Rajajinagar Entrance,1.0,35,12.981830994285714,77.55986603714285
BTP010 - Rajajinagar Entrance,2.0,28,12.982056082142858,77.5600914857143
BTP010 - Rajajinagar Entrance,3.0,32,12.98299385,77.56044349375
BTP010 - Rajajinagar Entrance,4.0,52,12.982186898481164,77.56015885324128
BTP010 - Rajajinagar Entrance,5.0,85,12.982172340718066,77.56113159818744
BTP010 - Rajajinagar Entrance,6.0,88,12.981987788890189,77.5614857032878
BTP010 - Rajajinagar Entrance,7.0,42,12.981727875157114,77.56084196850004
BTP010 - Rajajinagar Entrance,8.0,3,12.980781233333332,77.5584003
BTP010 - Rajajinagar Entrance,19.0,2,12.982242549999999,77.55898005
BTP010 - Rajajinagar Entrance,20.0,11,12.981886009090909,77.55872905454545
BTP010 - Rajajinagar Entrance,21.0,32,12.9826793,77.560529140625
BTP010 - Rajajinagar Entrance,22.0,38,12.982120000555035,77.56005571788366
BTP010 - Rajajinagar Entrance,23.0,45,12.98165056,77.5587751511111
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",0.0,54,12.994373062962962,77.55510907962963
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",1.0,46,12.994615399999999,77.55491762826087
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",2.0,5,12.995743780000002,77.55551026
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",3.0,27,12.994587721752575,77.55452971577873
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",4.0,15,12.994644461838172,77.55439673489761
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",5.0,11,12.995791905034299,77.55488138348149
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",6.0,9,12.992917755555556,77.55291437777777
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",7.0,15,12.993479066666668,77.55305475333333
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",8.0,17,12.994032981009148,77.55304866603544
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",19.0,7,12.9930656,77.55393149999999
